frame.len,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.length,radiotap.timestamp.ts,wlan.duration,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan_radio.duration,wlan.seq,wlan_radio.data_rate,wlan_radio.signal_dbm,wlan_radio.phy,wlan.sa,wlan.da,wlan.bssid,frame.interface_name
122,0.000007734,0.000007734,1744874371.305552672,0.349314512,13,,0,False,False,False,True,False,2,False,8,968,3373,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
122,0.000007344,0.000007344,1744874371.305560016,0.349321856,13,,0,False,False,False,True,False,2,False,8,968,3374,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
150,0.029872248,0.029872248,1744874371.335432264,0.379194104,68,1198928385,44,False,False,False,True,False,2,False,8,,239,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
99,0.000744563,0.000744563,1744874371.336176827,0.379938667,13,,0,False,False,False,True,False,2,False,8,784,3375,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
162,0.094084200,0.094084200,1744874371.430261027,0.474022867,68,1199023117,44,False,False,False,True,False,2,False,8,,959,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
253,0.000000050,0.000000050,1744874371.430261077,0.474022917,68,1199023117,44,False,False,False,True,False,2,False,8,,957,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
253,-0.000000020,-0.000000020,1744874371.430261057,0.474022897,68,1199023117,44,False,False,False,True,False,2,False,8,,957,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
162,0.000000040,0.000000040,1744874371.430261097,0.474022937,68,1199023117,44,False,False,False,True,False,2,False,8,,959,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
177,0.000019617,0.000019617,1744874371.430280714,0.474042554,68,1199023117,44,False,False,False,True,False,2,False,8,,957,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
499,0.000000431,0.000000431,1744874371.430281145,0.474042985,68,1199023117,44,False,False,False,True,False,2,False,8,,957,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
217,0.000014527,0.000014527,1744874371.430295672,0.474057512,68,1199023117,44,False,False,False,True,False,2,False,8,,958,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
177,0.000000982,0.000000982,1744874371.430296654,0.474058494,68,1199023117,44,False,False,False,True,False,2,False,8,,957,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
185,0.000014387,0.000014387,1744874371.430311041,0.474072881,68,1199023117,44,False,False,False,True,False,2,False,8,,958,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
162,0.000000401,0.000000401,1744874371.430311442,0.474073282,68,1199023117,44,False,False,False,True,False,2,False,8,,959,258.1,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
99,0.000790078,0.000790078,1744874371.431101520,0.474863360,13,,0,False,False,False,True,False,2,False,8,784,3376,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
87,0.000009548,0.000009548,1744874371.431111068,0.474872908,13,,0,False,False,False,True,False,2,False,8,688,3377,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
107,0.000509841,0.000509841,1744874371.431620909,0.475382749,13,,0,False,False,False,True,False,2,False,8,848,3378,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
111,0.000007524,0.000007524,1744874371.431628433,0.475390273,13,,0,False,False,False,True,False,2,False,8,880,3379,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
87,0.000007614,0.000007614,1744874371.431636047,0.475397887,13,,0,False,False,False,True,False,2,False,8,688,3380,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
1530,0.050482647,0.050482647,1744874371.482118694,0.525880534,68,1199074612,44,False,False,False,True,False,2,False,8,,963,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1530,0.000000010,0.000000010,1744874371.482118704,0.525880544,68,1199074612,44,False,False,False,True,False,2,False,8,,966,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
162,0.000000101,0.000000101,1744874371.482118805,0.525880645,68,1199074612,44,False,False,False,True,False,2,False,8,,969,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1530,0.000000010,0.000000010,1744874371.482118815,0.525880655,68,1199074612,44,False,False,False,True,False,2,True,8,,960,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
162,-0.000000091,-0.000000091,1744874371.482118724,0.525880564,68,1199074612,44,False,False,False,True,False,2,False,8,,970,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
150,-0.000000010,-0.000000010,1744874371.482118714,0.525880554,68,1199074612,44,False,False,False,True,False,2,False,8,,970,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1530,0.000016141,0.000016141,1744874371.482134855,0.525896695,68,1199074612,44,False,False,False,True,False,2,False,8,,964,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1530,0.000002675,0.000002675,1744874371.482137530,0.525899370,68,1199074612,44,False,False,False,True,False,2,False,8,,967,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1530,0.000003767,0.000003767,1744874371.482141297,0.525903137,68,1199074612,44,False,False,False,True,False,2,False,8,,961,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1195,0.000008516,0.000008516,1744874371.482149813,0.525911653,68,1199074612,44,False,False,False,True,False,2,False,8,,965,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1195,0.000005831,0.000005831,1744874371.482155644,0.525917484,68,1199074612,44,False,False,False,True,False,2,False,8,,968,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
1195,0.000011492,0.000011492,1744874371.482167136,0.525928976,68,1199074612,44,False,False,False,True,False,2,False,8,,962,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
87,0.000718974,0.000718974,1744874371.482886110,0.526647950,13,,0,False,False,False,True,False,2,False,8,688,3381,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
87,0.000011051,0.000011051,1744874371.482897161,0.526659001,13,,0,False,False,False,True,False,2,False,8,688,3382,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000016751,0.000016751,1744874371.482913912,0.526675752,13,,0,False,False,False,True,False,2,False,8,784,3383,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000008587,0.000008587,1744874371.482922499,0.526684339,13,,0,False,False,False,True,False,2,False,8,784,3384,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000007544,0.000007544,1744874371.482930043,0.526691883,13,,0,False,False,False,True,False,2,False,8,784,3385,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000007624,0.000007624,1744874371.482937667,0.526699507,13,,0,False,False,False,True,False,2,False,8,784,3386,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000008546,0.000008546,1744874371.482946213,0.526708053,13,,0,False,False,False,True,False,2,False,8,784,3387,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000007104,0.000007104,1744874371.482953317,0.526715157,13,,0,False,False,False,True,False,2,False,8,784,3388,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
344,0.000165932,0.000165932,1744874371.483119249,0.526881089,13,,0,False,False,False,True,False,2,False,8,2744,3389,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
604,0.001385070,0.001385070,1744874371.484504319,0.528266159,13,,0,False,False,False,True,False,2,False,8,4824,3390,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
193,0.000006221,0.000006221,1744874371.484510540,0.528272380,13,,0,False,False,False,True,False,2,False,8,1536,3391,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
193,0.000006893,0.000006893,1744874371.484517433,0.528279273,13,,0,False,False,False,True,False,2,False,8,1536,3392,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
193,0.000006362,0.000006362,1744874371.484523795,0.528285635,13,,0,False,False,False,True,False,2,False,8,1536,3393,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
426,0.000006352,0.000006352,1744874371.484530147,0.528291987,13,,0,False,False,False,True,False,2,False,8,3400,3394,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
426,0.000006453,0.000006453,1744874371.484536600,0.528298440,13,,0,False,False,False,True,False,2,False,8,3400,3395,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
426,0.000005269,0.000005269,1744874371.484541869,0.528303709,13,,0,False,False,False,True,False,2,False,8,3400,3396,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
150,0.027684477,0.027684477,1744874371.512226346,0.555988186,68,1199105174,44,False,False,False,True,False,2,False,8,,971,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
306,0.086491756,0.086491756,1744874371.598718102,0.642479942,68,1199191476,44,False,False,False,True,False,2,False,8,,973,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
